1000
463	728	639	709	241	639	
767	644	192	343	664	609	
746	783	137	390	578	476	
225	502	411	361	357	465	
675	140	703	598	281	564	
421	674	365	734	293	87	
467	743	331	281	484	540	
143	113	305	589	318	52	
612	704	483	606	533	705	
241	88	581	663	624	25	
347	50	609	744	89	480	
432	287	26	416	213	43	
234	14	775	752	354	476	
670	554	414	449	131	78	
573	43	310	14	725	145	
603	796	240	227	355	774	
710	451	338	159	185	780	
402	479	103	304	404	192	
752	257	478	425	356	389	
725	520	167	268	296	664	
261	445	566	675	204	396	
62	640	618	488	513	253	
356	338	342	792	751	712	
330	743	431	30	497	311	
42	110	142	562	520	39	
666	538	266	193	501	722	
452	720	294	283	727	662	
784	443	559	563	724	27	
54	184	317	263	596	282	
588	88	772	545	0	206	
180	0	225	535	792	703	
298	301	427	531	689	27	
643	112	212	479	719	309	
65	715	336	261	353	742	
114	118	579	16	582	130	
641	322	125	507	657	339	
515	732	234	216	405	698	
337	675	288	281	767	300	
280	187	336	621	657	563	
651	486	318	152	361	65	
548	341	676	785	697	541	
733	787	287	411	74	663	
791	136	730	408	579	150	
103	677	637	41	407	356	
621	101	270	365	555	131	
307	146	657	189	765	94	
316	584	90	187	639	610	
317	686	644	609	482	221	
672	683	254	112	306	580	
712	757	344	577	157	190	
749	667	725	165	163	671	
768	79	281	3	764	398	
441	83	439	225	561	553	
155	630	203	91	122	336	
651	366	439	323	389	265	
207	28	217	68	194	542	
492	63	2	135	100	175	
279	145	96	499	204	116	
337	101	25	137	344	460	
398	617	254	77	569	755	
266	98	565	525	226	451	
687	354	386	513	341	778	
626	82	414	135	7	550	
112	555	184	568	690	279	
411	576	654	447	220	293	
34	425	281	560	228	84	
669	571	304	341	247	392	
719	732	342	335	517	629	
131	687	503	554	571	198	
120	262	136	188	143	693	
603	729	614	136	72	278	
80	116	541	529	504	570	
576	794	259	257	677	234	
194	158	137	404	278	342	
78	724	255	570	786	259	
611	113	270	301	408	308	
137	25	366	307	311	743	
316	85	401	217	37	540	
210	296	742	679	11	631	
0	337	611	676	540	343	
207	507	704	470	202	645	
364	18	689	797	561	692	
414	259	623	459	254	330	
393	211	753	620	264	51	
478	669	360	256	752	572	
515	319	593	262	152	712	
610	421	408	6	468	742	
525	699	678	552	583	576	
795	752	36	73	87	218	
282	583	246	266	452	424	
105	128	424	761	654	457	
545	203	138	498	14	531	
518	440	598	300	676	443	
470	663	124	113	552	706	
695	246	273	455	135	257	
232	395	417	274	798	103	
504	104	238	67	375	399	
387	254	731	758	192	746	
107	735	368	213	149	143	
555	546	38	293	449	118	
581	296	294	526	620	248	
506	45	484	647	436	692	
541	225	138	170	295	773	
160	379	559	280	170	349	
377	175	128	429	407	746	
669	760	451	65	51	534	
287	214	464	464	422	425	
421	482	750	362	152	60	
669	617	264	706	453	10	
376	180	382	437	219	104	
702	265	506	306	311	720	
548	229	589	78	531	500	
114	403	759	785	704	304	
577	343	211	38	142	387	
257	346	462	253	534	356	
784	21	176	743	364	424	
787	411	12	129	202	230	
248	92	700	201	284	102	
295	790	376	704	219	576	
389	738	789	171	127	541	
150	98	115	89	576	423	
678	29	589	645	159	492	
299	129	722	172	312	559	
682	483	278	449	626	410	
747	410	449	547	695	481	
544	87	371	81	632	152	
451	141	413	789	375	657	
305	492	772	707	406	553	
762	136	692	109	641	372	
515	522	21	793	502	459	
603	416	196	16	191	54	
148	86	780	381	68	213	
518	196	278	644	72	81	
664	247	661	250	398	552	
669	595	287	84	174	513	
664	60	660	493	704	267	
591	565	506	23	783	284	
112	417	431	161	483	183	
363	174	140	345	511	455	
13	568	797	98	345	90	
650	726	156	251	502	523	
520	397	791	593	286	480	
129	653	117	60	36	494	
522	459	737	542	453	660	
42	756	323	418	438	70	
133	163	157	155	597	716	
342	510	656	442	427	111	
692	627	373	116	103	395	
282	781	705	3	511	325	
760	107	427	516	550	744	
315	738	153	433	603	405	
86	403	551	203	11	501	
350	627	240	213	768	406	
153	209	772	3	635	226	
121	328	88	259	23	381	
105	495	96	314	583	296	
376	712	341	436	350	725	
686	738	486	737	742	619	
437	758	736	531	792	756	
172	654	449	650	378	639	
448	33	576	668	570	562	
451	717	456	536	549	532	
302	288	588	6	278	125	
395	119	104	760	687	404	
425	420	520	362	206	335	
210	484	699	277	447	753	
668	719	451	548	
